County,Attendance,Income,Population
Albany,692080,66252,305506
Allegany ,50133,48412,46091
Bronx,339868,40088,1418207
Broome,252508,52226,190488
Cattaraugus,1521210,48703,76117
Cayuga,456058,58377,76576
Chautauqua,331539,46820,126903
Chemung,71675,54940,83456
Chenango,75582,52002,47207
Clinton,193747,56365,80485
Columbia,754603,66787,59461
Cortland ,0,56023,47581
Delaware,1021,49544,44135
Dutchess,1030412,81219,294218
Erie,1157497,58121,918702
Essex,85671,56763,36885
Franklin ,0,50407,50022
Fulton,60354,50482,53383
Genesee,79019,60524,57280
Greene,85830,53601,47188
Hamilton ,0,58675,4416
Herkimer,6000,54646,61319
Jefferson,951816,52685,109834
Kings,1721417,60231,2559903
Lewis,42067,54524,26296
Livingston,875150,59510,62914
Madison,381728,61633,70941
Monroe,423010,60075,741770
Montgomery,89021,49462,49221
Nassau,10895070,116100,1356924
New York,3745091,86553,1628706
Niagara,11613126,55522,209281
Oneida,485021,56027,228671
Onondaga,2595882,61359,460528
Ontario,363307,64944,109777
Orange,3874730,79944,384940
Orleans,107579,52620,40352
Oswego,287623,55967,117124
Otsego,411448,54028,59493
Putnam,791364,104486,98320
Queens,1910819,68666,2253858
Rensselaer,528293,68991,158714
Richmond,47060,82783,476143
Rockland,1215455,93024,325789
Saratoga,3580490,84291,229863
Schoharie,184064,65499,155299
Schenectady ,0,57714,30999
Schuyler,1037138,52327,17807
Seneca,377593,54545,34016
St Lawrence,378091,50940,107740
Steuben,194500,53663,95379
Suffolk,15989925,101031,1476601
Sullivan,11794,57426,75432
Tioga ,0,62999,48203
Tompkins,1627981,60240,102180
Ulster,533757,64304,177573
Warren,0,61024,63944
Washington,8588,57258,61204
Wayne,80599,59449,89918
Westchester,2351019,96610,967506
Wyoming,27031,58052,39859
Yates,116615,56563,24913
