Year,Facility,Attendance,LastAttendance
2020,Allan Treman Marina,341963,355313.0
2019,Allan Treman Marina,355313,291507.0
2018,Allan Treman Marina,291507,311260.0
2017,Allan Treman Marina,311260,318309.0
2016,Allan Treman Marina,318309,266112.0
2015,Allan Treman Marina,266112,210543.0
2014,Allan Treman Marina,210543,292200.0
2013,Allan Treman Marina,292200,162986.0
2012,Allan Treman Marina,162986,172579.0
2011,Allan Treman Marina,172579,205460.0
2010,Allan Treman Marina,205460,184372.0
2009,Allan Treman Marina,184372,160923.0
2008,Allan Treman Marina,160923,153700.0
2007,Allan Treman Marina,153700,176102.0
2006,Allan Treman Marina,176102,162478.0
2005,Allan Treman Marina,162478,132838.0
2004,Allan Treman Marina,132838,145622.0
2003,Allan Treman Marina,145622,0.0
2020,Allegany Quaker Area,703521,802727.0
2019,Allegany Quaker Area,802727,797641.0
2018,Allegany Quaker Area,797641,781567.0
2017,Allegany Quaker Area,781567,789045.0
2016,Allegany Quaker Area,789045,736589.0
2015,Allegany Quaker Area,736589,711217.0
2014,Allegany Quaker Area,711217,711264.0
2013,Allegany Quaker Area,711264,709512.0
2012,Allegany Quaker Area,709512,632478.0
2011,Allegany Quaker Area,632478,707369.0
2010,Allegany Quaker Area,707369,781833.0
2009,Allegany Quaker Area,781833,787724.0
2008,Allegany Quaker Area,787724,766206.0
2007,Allegany Quaker Area,766206,700411.0
2006,Allegany Quaker Area,700411,703380.0
2005,Allegany Quaker Area,703380,719567.0
2004,Allegany Quaker Area,719567,666515.0
2003,Allegany Quaker Area,666515,0.0
2020,Allegany Red House Area,665081,718483.0
2019,Allegany Red House Area,718483,712217.0
2018,Allegany Red House Area,712217,730926.0
2017,Allegany Red House Area,730926,715179.0
2016,Allegany Red House Area,715179,750751.0
2015,Allegany Red House Area,750751,686068.0
2014,Allegany Red House Area,686068,790645.0
2013,Allegany Red House Area,790645,729189.0
2012,Allegany Red House Area,729189,717013.0
2011,Allegany Red House Area,717013,728728.0
2010,Allegany Red House Area,728728,748255.0
2009,Allegany Red House Area,748255,785967.0
2008,Allegany Red House Area,785967,800376.0
2007,Allegany Red House Area,800376,776633.0
2006,Allegany Red House Area,776633,755990.0
2005,Allegany Red House Area,755990,761212.0
2004,Allegany Red House Area,761212,754291.0
2003,Allegany Red House Area,754291,0.0
2020,Anthony Wayne,79451,83463.0
2019,Anthony Wayne,83463,70411.0
2018,Anthony Wayne,70411,89048.0
2017,Anthony Wayne,89048,72286.0
2016,Anthony Wayne,72286,102455.0
2015,Anthony Wayne,102455,47025.0
2014,Anthony Wayne,47025,168928.0
2013,Anthony Wayne,168928,457338.0
2012,Anthony Wayne,457338,386872.0
2011,Anthony Wayne,386872,360706.0
2010,Anthony Wayne,360706,365502.0
2009,Anthony Wayne,365502,433075.0
2008,Anthony Wayne,433075,722200.0
2007,Anthony Wayne,722200,1291177.0
2006,Anthony Wayne,1291177,1384785.0
2005,Anthony Wayne,1384785,1365494.0
2004,Anthony Wayne,1365494,1279072.0
2003,Anthony Wayne,1279072,0.0
2020,Appalachian Trail,26219,16146.0
2019,Appalachian Trail,16146,17199.0
2018,Appalachian Trail,17199,17404.0
2017,Appalachian Trail,17404,17009.0
2016,Appalachian Trail,17009,12683.0
2015,Appalachian Trail,12683,8514.0
2014,Appalachian Trail,8514,5516.0
2013,Appalachian Trail,5516,8502.0
2012,Appalachian Trail,8502,11890.0
2011,Appalachian Trail,11890,3396.0
2010,Appalachian Trail,3396,1387.0
2009,Appalachian Trail,1387,1951.0
2008,Appalachian Trail,1951,2515.0
2007,Appalachian Trail,2515,2579.0
2006,Appalachian Trail,2579,3596.0
2005,Appalachian Trail,3596,0.0
2004,Appalachian Trail,0,0.0
2003,Appalachian Trail,0,0.0
2020,Artpark,229672,321427.0
2019,Artpark,321427,339910.0
2018,Artpark,339910,315134.0
2017,Artpark,315134,292307.0
2016,Artpark,292307,322905.0
2015,Artpark,322905,301523.0
2014,Artpark,301523,311969.0
2013,Artpark,311969,271407.0
2012,Artpark,271407,312881.0
2011,Artpark,312881,194175.0
2010,Artpark,194175,159051.0
2009,Artpark,159051,162931.0
2008,Artpark,162931,150581.0
2007,Artpark,150581,126528.0
2006,Artpark,126528,108073.0
2005,Artpark,108073,105127.0
2004,Artpark,105127,89223.0
2003,Artpark,89223,0.0
2020,Athens,0,13404.0
2019,Athens,13404,0.0
2016,Athens,0,0.0
2015,Athens,0,12592.0
2014,Athens,12592,5439.0
2013,Athens,5439,6517.0
2012,Athens,6517,20967.0
2011,Athens,20967,39511.0
2010,Athens,39511,38121.0
2009,Athens,38121,41634.0
2008,Athens,41634,42035.0
2007,Athens,42035,25453.0
2006,Athens,25453,0.0
2005,Athens,0,0.0
2004,Athens,0,0.0
2003,Athens,0,7205.0
2020,Barcelona Lighthouse,7205,17252.0
2019,Barcelona Lighthouse,17252,0.0
2018,Barcelona Lighthouse,21605,17368.0
2017,Barcelona Lighthouse,17368,33056.0
2020,Battle Isl Golf Course,33056,28377.0
2019,Battle Isl Golf Course,28377,29152.0
2018,Battle Isl Golf Course,29152,29135.0
2017,Battle Isl Golf Course,29135,32207.0
2016,Battle Isl Golf Course,32207,30839.0
2015,Battle Isl Golf Course,30839,29291.0
2014,Battle Isl Golf Course,29291,28728.0
2013,Battle Isl Golf Course,28728,30166.0
2012,Battle Isl Golf Course,30166,28693.0
2011,Battle Isl Golf Course,28693,30613.0
2010,Battle Isl Golf Course,30613,31065.0
2009,Battle Isl Golf Course,31065,31416.0
2008,Battle Isl Golf Course,31416,30730.0
2007,Battle Isl Golf Course,30730,34381.0
2006,Battle Isl Golf Course,34381,38964.0
2005,Battle Isl Golf Course,38964,0.0
2004,Battle Isl Golf Course,38807,39351.0
2003,Battle Isl Golf Course,39351,407020.0
2020,Bayard C. A.,407020,442658.0
2019,Bayard C. A.,442658,350940.0
2018,Bayard C. A.,350940,347492.0
2017,Bayard C. A.,347492,289511.0
2016,Bayard C. A.,289511,248619.0
2015,Bayard C. A.,248619,225456.0
2014,Bayard C. A.,225456,179963.0
2013,Bayard C. A.,179963,178698.0
2012,Bayard C. A.,178698,171774.0
2011,Bayard C. A.,171774,185614.0
2010,Bayard C. A.,185614,147198.0
2009,Bayard C. A.,147198,149938.0
2008,Bayard C. A.,149938,152796.0
2007,Bayard C. A.,152796,128254.0
2006,Bayard C. A.,128254,123115.0
2005,Bayard C. A.,123115,0.0
2004,Bayard C. A.,125907,107512.0
2003,Bayard C. A.,107512,12620.0
2020,Bayswater Point ,12620,11868.0
2019,Bayswater Point ,11868,18768.0
2018,Bayswater Point ,18768,20388.0
2017,Bayswater Point ,20388,20397.0
2016,Bayswater Point ,20397,14374.0
2015,Bayswater Point ,14374,17566.0
2014,Bayswater Point ,17566,18360.0
2013,Bayswater Point ,18360,22242.0
2012,Bayswater Point ,22242,12068.0
