Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Longitude,Latitude
Alfred E. Smith/Sunken Meadow,State Park,9,Suffolk,Y,N,Y,N,Y,-73.2632063245,40.9099922695
Allan H. Treman,Marine Facility,4,Tompkins,N,N,N,N,N,-76.517568174,42.4613966817
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y-A,Y-M,-78.7685586473,42.0547575211
Amherst,State Park,1,Erie,N,N,N,N,N,-78.7480881839,42.971000873
Amsterdam Beach,State Park,9,Suffolk,N,N,N,N,N,-71.900265311,41.0477711309
Athens Boat Launch,Marine Facility,11,Greene,N,N,N,N,N,-73.802276886,42.2729538399
Battle Island,State Park,5,Oswego,Y,N,N,N,N,-76.4360441829,43.3616709338
Bayard Cutting Arboretum,State Park,9,Suffolk,N,N,N,Y,N,-73.1577583532,40.7472405356
Bayswater,State Park,12,Queens,N,N,N,N,N,-73.7725529333,40.6128179007
Bear Mountain,State Park,8,Rockland/Orange,N,N,Y,Y-A,N,-73.9924016123,41.2990042301
Beaver Island,State Park,1,Erie,Y,N,Y,Y,Y,-78.9531063633,42.9657659397
Beechwood,State Park,4,Wayne,N,N,N,N,N,-77.0337933037,43.266694455
Belmont Lake,State Park,9,Suffolk,N,N,Y,N,N,-73.3367949963,40.7262324019
Bennington Battlefield,State Historic Site,11,Rensselaer,N,N,N,N,N,-73.3022506021,42.9395061504
Bethpage,State Park,9,Nassau,Y,N,Y,N,N,-73.4568035403,40.7475174105
Betty & Wilbur Davis,State Park,5,Otsego,N,N,N,N,N,-74.8329098238,42.6636396942
Big Six Mile Creek Marina,Marine Facility,1,Erie,N,N,N,N,N,-79.0109877003,43.0231951575
Black Lake Boat Launch,Marine Facility,10,St. Lawrence,N,N,N,N,N,-75.6130388928,44.5093867729
Blauvelt,State Park,8,Rockland,N,N,N,N,N,-73.9373730834,41.074241369
Bonavista,State Park,4,Seneca,Y,N,N,N,N,-76.8677249793,42.6731942171
Bowman Lake,State Park,5,Chenango,N,Y,Y,N,Y,-75.6806338029,42.519984738
Braddock Bay,State Park,3,Monroe,N,N,N,N,N,-77.7038657164,43.2941954526
Brentwood,State Park,9,Suffolk,N,N,N,N,N,-73.2711299925,40.7915533842
Bristol Beach,State Park,8,Rockland,N,N,N,N,N,-73.9325310791,42.1083717833
Brookhaven,State Park,9,Suffolk,N,N,N,N,N,-72.8648165733,40.9209500377
Buckhorn Island,State Park,1,Erie,N,N,N,N,N,-78.9807473248,43.0585164791
Buffalo Harbor,State Park,1,Erie,N,N,N,N,N,-78.8646829903,42.8463872552
Burnham Point,State Park,10,Jefferson,N,Y,Y,N,N,-76.2644442667,44.1625024865
Buttermilk Falls,State Park,4,Tompkins,N,Y,Y,N,Y-M,-76.5122566369,42.4040259595
Caleb Smith Park Preserve,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,-73.2260164473,40.8530379808
Camp Hero,State Park,9,Suffolk,N,N,N,N,N,-71.8777872995,41.0617719475
Canadarago Boat Marine Park,Marine Facility,5,Otsego,N,N,N,N,N,-75.013711762,42.8186973108
Canal Park Lock 32,Other,3,Monroe,N,N,N,N,N,-77.5463410098,43.0925511521
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,N,N,N,N,N,-77.275682797,42.8766685939
Canoe Picnic Point,State Park,10,Jefferson,N,Y,N,N,N,-76.0747121606,44.304171386
Captree,State Park,9,Suffolk,N,N,Y,N,N,-73.2612735859,40.6388521833
Caumsett,State Historic Park,9,Suffolk,N,N,N,N,N,-73.4686773494,40.9281246175
Cayuga Lake,State Park,4,Seneca,N,Y,Y,N,Y,-76.7553118502,42.8979519073
Cedar Island,State Park,10,St. Lawrence,N,Y,N,N,N,-75.7905288637,44.449679332
Cedar Point,State Park,10,Jefferson,N,Y,Y,N,Y,-76.19613394,44.2034891967
Chaumont Boat Launch,Marine Facility,10,Jefferson,N,N,N,N,N,-76.1498035216,44.0694089909
Chenango Valley,State Park,5,Broome,Y,Y,Y,N,Y,-75.8362368401,42.2155402507
Cherry Plain,State Park,11,Rensselaer,N,Y,Y,N,Y,-73.412215266,42.6178677896
Chimney Bluffs,State Park,4,Wayne,N,N,N,N,N,-76.9170242028,43.2809455173
Chittenango Falls,State Park,5,Madison,N,N,Y,Y,N,-75.8466563129,42.9814847366
Clarence Fahnestock,State Park,7,Putnam,N,Y,N,Y-A,Y,-73.8476473928,41.4527563307
Clark Reservation,State Park,5,Onondaga,N,N,Y,Y,N,-76.0930004359,42.9975225031
Clay Pit Ponds,State Park Preserve,12,Richmond,N,N,N,Y-A,N,-74.2290460884,40.5405635456
Clermont,State Historic Site,7,Col/Dutch,N,N,N,N,N,-73.911040157,42.0833097387
Clinton House,State Historic Site,7,Dutchess,N,N,N,N,N,-73.9162447123,41.700364954
Cold Spring Harbor,State Park,9,Suffolk,N,N,N,N,N,-73.4602230086,40.8628393914
Coles Creek,State Park,10,St. Lawrence,N,Y,Y,N,Y,-75.1232360855,44.8847335701
Conesus Lake Marine Park,Marine Facility,3,Livingston,N,N,N,N,N,-77.7116004968,42.7758061511
Connetquot River,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,-73.1492496889,40.7694292476
Coxsackie Boat Launch,Marine Facility,11,Greene,N,N,Y,N,N,-73.7957752251,42.3527161128
Crab Island,State Park,10,Clinton,N,N,N,N,N,-73.4171493852,44.661757997
Crailo,State Historic Site,11,Rensselaer,N,N,N,N,N,-73.749225681,42.6346290753
Croil Island,State Park,10,St. Lawrence,N,N,N,N,N,-74.9794752521,44.9725681103
Crown Point,State Historic Site,11,Essex,N,N,N,N,N,-73.4316631872,44.0233248124
Cumberland Bay,State Park,10,Clinton,N,Y,Y,N,Y,-73.4211799632,44.7333465428
Darien Lakes,State Park,3,Genesee,N,Y,Y,N,Y,-78.4114922979,42.9118141573
Darwin Martin House,State Historic Site,1,Erie,N,N,N,N,N,-78.8480452045,42.9360920889
DeVeaux Woods,State Park,1,Erie,N,N,Y,N,N,-79.0587431765,43.1194167987
Deans Cove Boat Launch,Marine Facility,4,Seneca,N,N,N,N,N,-76.7687292376,42.7444615076
Delta Lake,State Park,5,Oneida,N,Y,Y,N,Y,-75.4218722435,43.290965581
Devil's Hole,State Park,1,Niagara,N,N,N,N,N,-79.0459607011,43.1346318545
Dewolf Point,State Park,10,Jefferson,N,Y,N,N,N,-75.9901417959,44.3327407662
Donald J. Trump,State Park,7,Putnam/Westchester,N,N,N,N,N,-73.8083717836,41.3453986775
Donald J. Trump,State Park,7,Putnam/Westchester,N,N,N,N,N,-73.8040521147,41.2626335527
Earl W. Brydges Artpark,State Park,1,Niagara,N,N,N,N,N,-79.0419282069,43.1656182246
East River,State Park,12,Kings,N,N,Y,N,N,-73.962057535,40.7214246134
Eel Weir,State Park,10,St. Lawrence,N,Y,N,N,N,-75.4759295772,44.6299900391
Evangola,State Park,1,Erie,N,Y,Y,Y,Y,-79.1018592578,42.6057993585
Fair Haven Beach,State Park,4,Cayuga,Y,Y,Y,N,Y-M,-76.6913106828,43.3417081221
Fillmore Glen,State Park,4,Cayuga,N,Y,Y,N,Y,-76.388006245,42.6909689808
Fort Montgomery,State Historic Site,8,Orange,N,N,N,N,N,-73.9895724569,41.3243022048
Fort Niagara,State Park,1,Niagara,N,N,Y,Y,N,-79.0525858506,43.2616349374
Fort Ontario,State Historic Site,5,Oswego,N,N,N,N,N,-76.5074471503,43.4661242441
Four Mile Creek,State Park,1,Niagara,N,Y,Y,N,N,-78.9974685115,43.2743764485
Franklin D. Roosevelt Four Freedoms,State Park,12,Manhattan,N,N,N,N,N,-73.9603793708,40.7506765522
Franklin Delano Roosevelt,State Park,7,Westchester,N,N,Y,N,N,-73.8087569052,41.2823041702
Franny Reese Preserve,State Park,8,Ulster,N,N,N,N,N,-73.9559643746,41.7014644466
Galop Island,State Park,10,St. Lawrence,N,N,N,N,N,-75.3927637822,44.7684367215
