County,Attendance
"('Albany', 2046    Albany
3490    Albany
3898    Albany
Name: County, dtype: object)",692080
"('Bronx', 3232    Bronx
Name: County, dtype: object)",339868
"('Broome', 761    Broome
Name: County, dtype: object)",214454
"('Broome/Delaware', 2882    Broome/Delaware
Name: County, dtype: object)",48054
"('Cattaraugus', 19    Cattaraugus
37    Cattaraugus
Name: County, dtype: object)",1521210
"('Cayuga', 1270    Cayuga
1306    Cayuga
2428    Cayuga
3654    Cayuga
Name: County, dtype: object)",456058
"('Chautauqua', 129     Chautauqua
2262    Chautauqua
2392    Chautauqua
2558    Chautauqua
3838    Chautauqua
Name: County, dtype: object)",331539
"('Chemung', 2482    Chemung
2720    Chemung
Name: County, dtype: object)",71675
"('Chenango', 401     Chenango
1958    Chenango
Name: County, dtype: object)",75582
"('Clinton', 1077    Clinton
1614    Clinton
2464    Clinton
3066    Clinton
3084    Clinton
Name: County, dtype: object)",193747
"('Columbia', 901     Columbia
1007    Columbia
1942    Columbia
2320    Columbia
2828    Columbia
Name: County, dtype: object)",754603
"('Delaware', 2082    Delaware
Name: County, dtype: object)",1021
"('Dutchess', 919     Dutchess
2028    Dutchess
2576    Dutchess
3102    Dutchess
3304    Dutchess
3684    Dutchess
Name: County, dtype: object)",409132
"('Dutchess/Ulster', 4002    Dutchess/Ulster
Name: County, dtype: object)",621280
"('Erie', 205     Erie
311     Erie
491     Erie
509     Erie
1252    Erie
2208    Erie
4236    Erie
Name: County, dtype: object)",1157497
"('Essex', 1059    Essex
2064    Essex
Name: County, dtype: object)",85671
"('Fulton', 2118    Fulton
Name: County, dtype: object)",60354
"('Genesee', 1095    Genesee
Name: County, dtype: object)",79019
"('Greene', 113     Greene
1025    Greene
Name: County, dtype: object)",85830
"('Herkimer', 1780    Herkimer
Name: County, dtype: object)",6000
"('Jefferson', 347     Jefferson
527     Jefferson
635     Jefferson
743     Jefferson
1185    Jefferson
1596    Jefferson
2172    Jefferson
2244    Jefferson
2410    Jefferson
2504    Jefferson
3268    Jefferson
3322    Jefferson
3636    Jefferson
3766    Jefferson
4056    Jefferson
4092    Jefferson
4110    Jefferson
4128    Jefferson
Name: County, dtype: object)",951816
"('Kings', 1236    Kings
2486    Kings
3598    Kings
Name: County, dtype: object)",1721417
"('Lewis', 4146    Lewis
Name: County, dtype: object)",42067
"('Livingston', 971    Livingston
Name: County, dtype: object)",33469
"('Livingston/Wyoming', 2356    Livingston/Wyoming
Name: County, dtype: object)",841681
"('Madison', 815     Madison
2446    Madison
2864    Madison
Name: County, dtype: object)",381728
"('Monore/Livingston/Wyoming/Allegany/Cattaraugus', 1470    Monore/Livingston/Wyoming/Allegany/Cattaraugus
Name: County, dtype: object)",50133
"('Monroe', 419     Monroe
1203    Monroe
1452    Monroe
1654    Monroe
1992    Monroe
Name: County, dtype: object)",423010
"('Montgomery', 3454    Montgomery
Name: County, dtype: object)",89021
"('Nassau', 275     Nassau
437     Nassau
1762    Nassau
2136    Nassau
3048    Nassau
3948    Nassau
3966    Nassau
Name: County, dtype: object)",10895070
"('New York', 1392    New York
3124    New York
3142    New York
3160    New York
Name: County, dtype: object)",3745091
"('Niagara', 95      Niagara
1151    Niagara
1167    Niagara
1374    Niagara
1412    Niagara
1524    Niagara
2154    Niagara
2756    Niagara
3106    Niagara
4164    Niagara
4218    Niagara
Name: County, dtype: object)",11613126
"('Oneida', 1133    Oneida
2918    Oneida
3030    Oneida
3712    Oneida
3984    Oneida
Name: County, dtype: object)",485021
"('Onondaga', 865     Onondaga
1632    Onondaga
3690    Onondaga
Name: County, dtype: object)",2595882
"('Ontario', 599     Ontario
1416    Ontario
1798    Ontario
1888    Ontario
3632    Ontario
Name: County, dtype: object)",223159
"('Ontario/Seneca', 3562    Ontario/Seneca
Name: County, dtype: object)",140148
"('Orange', 1338    Orange
1542    Orange
1816    Orange
2226    Orange
2702    Orange
2738    Orange
3472    Orange
3694    Orange
3802    Orange
4054    Orange
Name: County, dtype: object)",504677
"('Orange/Rockland', 59      Orange/Rockland
77      Orange/Rockland
187     Orange/Rockland
1672    Orange/Rockland
1690    Orange/Rockland
1708    Orange/Rockland
2338    Orange/Rockland
3508    Orange/Rockland
3930    Orange/Rockland
Name: County, dtype: object)",3370053
"('Orleans', 2284    Orleans
2810    Orleans
Name: County, dtype: object)",107579
"('Oswego', 133     Oswego
1356    Oswego
2540    Oswego
2994    Oswego
3382    Oswego
3526    Oswego
Name: County, dtype: object)",287623
"('Otsego', 293     Otsego
617     Otsego
1488    Otsego
1506    Otsego
Name: County, dtype: object)",411448
"('Putnam', 847     Putnam
1924    Putnam
3844    Putnam
Name: County, dtype: object)",791364
"('Queens', 169     Queens
1434    Queens
Name: County, dtype: object)",1910819
"('Rensselaer', 257     Rensselaer
779     Rensselaer
1041    Rensselaer
1560    Rensselaer
3436    Rensselaer
Name: County, dtype: object)",528293
"('Richmond', 883    Richmond
Name: County, dtype: object)",47060
"('Rockland', 365     Rockland
1726    Rockland
1834    Rockland
1906    Rockland
2792    Rockland
2936    Rockland
3286    Rockland
3784    Rockland
3862    Rockland
Name: County, dtype: object)",1215455
"('Saratoga', 1578    Saratoga
2666    Saratoga
2954    Saratoga
3400    Saratoga
3432    Saratoga
Name: County, dtype: object)",3580490
"('Schoharie', 2522    Schoharie
2594    Schoharie
Name: County, dtype: object)",184064
"('Schuyler', 4074    Schuyler
Name: County, dtype: object)",1037138
"('Seneca', 383     Seneca
689     Seneca
1113    Seneca
2374    Seneca
3358    Seneca
Name: County, dtype: object)",377593
"('St Lawrence', 329     St Lawrence
707     St Lawrence
725     St Lawrence
953     St Lawrence
1219    St Lawrence
1852    St Lawrence
2010    St Lawrence
3197    St Lawrence
3730    St Lawrence
4200    St Lawrence
Name: County, dtype: object)",378091
"('Steuben', 1974    Steuben
3026    Steuben
3748    Steuben
Name: County, dtype: object)",194500
