Year,Facility,Attendance
2003,Woodlawn Beach,150093
2003,Bear Mountain St Pk,1045636
2003,Delta Lake St Pk,119868
2003,Mills Norrie St Pk,238902
2003,Burnham Pnt River Park,8888
2003,Washington Headquarters,21796
2003,Glimmerglass State Park,80943
2003,Fort Ontario,120120
2003,Cold Spring Harbor,0
2003,Letchworth State Park,649777
2003,John Boyd Thacher Pk,306301
2003,Stony Brook St Pk,99231
2003,Sampson St Pk,191513
2003,Beaver Island,237101
2003,Buffalo Harbor St Pk & Marina,0
2003,Highland Lakes,0
2003,Robert Moses St Pk - Long Island,3376253
2003,Walt Whitman House,13571
2003,Mexico Point Boat Launch,30605
2003,Walkway Over The Hudson,0
2003,High Tor St Pk,48168
2003,James Baird,349640
2003,Lodi Point Marina/Boat,15958
2003,Gilbert Lake St Pk,92440
2003,H H Spencer,22001
2003,Coles Creek,119915
2003,Buckhorn,26515
2003,Old Erie Canal,110318
2003,Stony Creek,14341
2003,Deans Cove Boat Launch,17582
2003,Deaveaux Woods,27793
2003,Midway State Park,0
2003,Beechwood,11758
2003,St Lawrence Golf Course,18226
2003,Old Croton Aqueduct,592761
2003,Sandy Island Beach,0
2003,Minnewaska Park,330659
2003,Camp Hero,126985
2003,Riverbank State Park,1357367
2003,John Burroughs Memorial,0
2003,Lake Taghkanic St Park,158870
2003,Golden Hill St Pk,226076
2003,Bayard C. A.,107512
2003,Hempstead Lake St Pk,291390
2003,Olana,108711
2003,Staatsburgh Shs,16173
2003,Wehle State Park,0
2003,Devils Hole,161640
2003,Battle Isl Golf Course,39351
2003,Clay Pit Ponds,41888
2003,Pinnacle Golf,32177
2003,Four  Mile Creek,47848
2003,Watkins Glen St Pk,367132
2003,Clermont,77551
2003,John Brown Farm,77807
2003,Robert H Treman St Pk,162866
2003,Buttermilk Falls St Pk,162905
2003,Clinton House,1594
2003,Waterson Point Docking,1086
2003,Lake Welch,156760
2003,Sterling Forest,72579
2003,Bayswater Point St Pk,12473
2003,Pine Grove Boatlaunch,0
2003,Minekill,63219
2003,Crailo,7733
2003,Caleb Smith State Park,31716
2003,Fort Montgomery,3536
2003,Saratoga Lake Boat Lnch,67082
2003,Steuben Memorial,2729
2003,Philipse Manor,22941
2003,Stony Point Battlefield,21414
2003,Brookhaven State Park,0
2003,Crown Point,48230
2003,Long Point St Pk,24649
2003,Gantry Plaza,118444
2003,Big 6 Marina,56561
2003,Orient Beach St Pk,79239
2003,Hook Mountain,0
2003,Tiorati,244992
2003,Tallman Mountain St Pk,348298
2003,Rockefeller Preserve,254828
2003,Copake Falls,156903
2003,Bowman Lake St Pk,41846
2003,Marsha P. Johnson State Park (former East River State Park until 2020),0
2003,Trailview,0
2003,Indian Hills Golf Course,0
2003,Palisades,0
2003,Betty And Wilbur Davis State Park,0
2003,Bonavista Golf Course,13554
2003,Hunts Pond State Park,11816
2003,Ganondagan,26350
2003,Black River Trail,0
2003,Hudson River Islands,0
2003,Lorenzo,52158
2003,Rock Island,2889
2003,Oriskany Battlefield,15985
2003,Coxsackie,0
2003,Thompson Lake St Pk,50178
2003,Blauvelt,0
2003,Black Lk Boat Launch,7932
2003,Macomb Reservation,31243
2003,Hudson Highlands,77121
2003,Rockland Lake State Park,2124158
2003,Taughannock Falls St Pk,352854
2003,Thousand Island Admin.,0
2003,Canadaigua Btlau Ontrio,49894
2003,Taconic Outdoor Education Center,25610
2003,Rudd Pond,16277
2003,Max V Shaul Campsite,6307
2003,Verona Beach State Park,173790
2003,Bennington Battlefield,18983
2003,Genesee Valley Greenway,0
2003,Darien Lakes State Park,56859
2003,Knox Farm Sp,36331
2003,Sackets Harbor Btl Field,96288
2003,Bristol Beach,19887
2003,Storm King,0
2003,Jacques Cartier St Pk,27884
2003,Higley Flow St Park,33650
2003,Robert Moses St Pk - Thousand Islands,260797
2003,Sag Harbour,30685
2003,Belmont Lakes St Pk,292670
2003,Conesus Lake Boat Launch,18679
2003,Honeoye Bt Lau,28387
2003,Long Point Marina,192079
2003,Brentwood Sp,0
2003,Genesee River Park,0
2003,Long Point River Park,23423
2003,Braddock Bay,0
2003,Cumberland Bay St Pk,53791
2003,Peebles Island,67799
2003,Ft Niagara,508195
2003,Sunken Meadow St Pk,1262955
2003,Connetquot River St Pk,260198
2003,Mary Island River Park,3313
2003,Bethpage Golf Course,860104
2003,Hither Hills,357220
2003,Roberto Clemente,1077815
2003,Oquaga State Park,34883
2003,Irondquoit Bay Boat Lnch,0
2003,Valley Stream St Pk,156508
2003,Montauk Downs,222244
2003,Herkimer Home,27074
2003,Napeague State Park,196520
